title,genre,rating,year_release,language,director
Surviving the Fortress,Romance,7.7,1969,English,Rohan Petrescu
The Dark Feather,Horror,8.3,2017,Arabic,Mikhail Hansen
Return to Valoria,Historical,7.5,1987,Arabic,Lucia Singh
Chronicle of Vesper,Documentary,8.2,1966,Korean,Li Iyer
Legacy of Vesper,Comedy,7.8,2006,Spanish,Mina Novak
Crimson Whisper,Sci-Fi,6.9,2020,Czech,Ravi Petrescu
The Azure Legacy,Documentary,7.8,2024,Bengali,Zara Ionescu
5 Days in Eldoria,Crime,8.0,1988,Filipino,Ali Gupta
Storm of Valoria,Mystery,4.2,1997,Korean,Aisha Ionescu
Shadow of Solace,Animation,9.4,2017,Spanish,Neha Levy
Empire of Nerida,War,5.6,2013,Hebrew,Maya Silva
Return to Ravenna,Fantasy,7.2,2004,Thai,Omar Chakraborty
16 Days in Lunaris,Historical,2.5,2015,Turkish,Mina Santos
Orbit of Solace,Fantasy,5.4,1967,Serbian,Isha Horváth
Feather of Arcadia,Animation,5.9,2007,Turkish,Nadia Ionescu
Return to Arcadia,Thriller,9.1,1960,Tamil,Marta Kowalski
13 Days in Vesper,Mystery,6.8,1956,Dutch,Hiro Petrov
Fading Garden,Biography,7.6,2022,French,Mina Gupta
7 Days in Eldoria,Sport,3.4,2019,Kannada,Marta Kapoor
10 Days in Eldoria,Action,8.5,1992,Russian,Aarav Novak
The Emerald River,Mystery,6.7,1996,Arabic,Zara Ionescu
Song of Nerida,Animation,3.5,1979,Romanian,Ravi Basu
Dark Voyage,Documentary,4.9,2021,Vietnamese,Aarav Hansen
The Frozen Garden,Sci-Fi,3.6,2020,Hebrew,Mikhail Gupta
Embracing the Myth,Noir,5.3,2021,Telugu,Marta Rossi
33 Days in Kandara,Drama,3.9,1980,Kannada,Carlos Ivanov
Azure Shadow,Fantasy,7.1,1960,Japanese,Li Verma
Eternal Myth,Noir,7.2,2017,Arabic,Fatima Ivanov
The Shattered Dream,Action,5.3,2022,Czech,Mina Gupta
First Myth,Western,6.8,1959,French,Elena Fernandes
The Secret Storm,Western,6.8,2002,Filipino,Jiwoo Costa
Radiant Legacy,Musical,7.7,2001,Polish,Jamal Hansen
Return to Vesper,Romance,7.3,1957,Telugu,Rohan Papadopoulos
5 Days in Kandara,Biography,6.1,2022,Norwegian,Maya Zhang
Remembering the Pulse,Historical,7.2,1954,Persian,Jonas Yamamoto
The Shattered Odyssey,War,4.2,1969,English,Elena Nguyen
9 Days in Avalon,Musical,7.2,1979,Hindi,Arun Romero
Embracing the Empire,Thriller,7.2,1976,Romanian,Jamal Johansson
Return to Eldoria,Biography,9.2,2000,Danish,Piotr Fernandes
21 Days in Caldera,Fantasy,6.3,1975,Thai,Mina Gupta
The Forgotten Mirror,Romance,7.9,2019,English,Lea Horváth
Dark Voyage,Adventure,7.1,2015,Malayalam,Sofia Sarkar
5 Days in Caldera,Action,8.9,2022,Turkish,Maya Chakraborty
Return to Kandara,Drama,8.1,1969,Vietnamese,Priya Basu
10 Days in Eldoria,Mystery,7.2,1983,Thai,Kenji Costa
Return to Caldera,Historical,8.9,1980,Hebrew,Hiro Kowalski
Return to Aramore,Family,4.1,1994,Serbian,Karan Kuznetsov
The Shattered Flame,Adventure,3.3,2025,Bengali,Seojun Ivanov
40 Days in Solace,War,5.5,1999,Italian,Aisha Levy
13 Days in Aramore,Family,7.6,1972,Norwegian,Karan Fernandes
Fallen Path,Noir,2.3,1965,Tamil,Noah Kowalski
Canvas of Caldera,Action,9.3,1986,Kannada,Fatima Johansson
Sacred Legacy,Action,3.9,2010,Polish,Rohan Sarkar
The Haunted Garden,Documentary,6.2,2014,Kannada,Maya Ivanov
10 Days in Drakenfell,Drama,6.0,1956,Indonesian,Rohan Kowalski
The Sacred Pulse,Thriller,7.3,1959,Greek,Mina Basu
Return to Drakenfell,Horror,5.3,1966,Vietnamese,Fatima Chakraborty
4 Days in Veridian,Comedy,5.0,1997,Cantonese,Isha Nguyen
Leaving the Voyage,Family,3.7,1978,Romanian,Carlos Ionescu
Beacon of Kandara,Biography,7.8,1970,Bulgarian,Li Singh
The Crimson Feather,Family,7.0,1988,Kannada,Fatima Garcia
Forgotten Myth,Fantasy,7.9,2018,Polish,Rohan Sarkar
40 Days in Ravenna,Animation,6.5,1993,Norwegian,Yara Gupta
The Silent Beacon,Noir,7.0,1959,Hebrew,Li Sharma
Crossing the Echo,Fantasy,7.9,1979,Hindi,Hiro Kim
The Golden Empire,Fantasy,5.8,1973,Danish,Diego Kowalski
Crossing the Shadow,Thriller,7.4,1989,German,Yara Verma
Saving the Crown,Historical,6.3,1956,Danish,Nadia Nguyen
Dream of Caldera,Romance,7.4,1962,Indonesian,Karan Hansen
The Haunted Beacon,Sport,3.2,2021,Arabic,Noah Papadopoulos
First Chronicle,Documentary,6.4,1967,Bengali,Noah Singh
Feather of Aramore,Historical,7.9,1970,Marathi,Ananya Chakraborty
Curious Crown,Biography,4.6,1952,Telugu,Luca Novak
The Forgotten Song,Fantasy,5.6,2013,Thai,Karan Ionescu
The Fading Song,Fantasy,6.3,1957,Telugu,Rohan Yamamoto
The Burning Promise,Historical,7.3,2018,Hindi,Luca Iyer
Chronicle of Valoria,Horror,3.6,1967,Hindi,Noah Petrov
Return to Ravenna,Family,5.3,2015,Swedish,Lucia Petrescu
Sacred Whisper,Comedy,8.8,1986,Hungarian,Jamal Iyer
Sacred Orbit,Fantasy,4.1,1973,Greek,Aarav Ionescu
The Hidden Feather,Sci-Fi,8.5,2005,Danish,Carlos Iyer
Emerald Whisper,Romance,7.4,2015,Persian,Marta Silva
5 Days in Veridian,Romance,6.4,2018,Hindi,Luca Levy
Unlocking the Echo,Biography,9.3,2017,Swedish,Seojun Nguyen
Silent Labyrinth,Drama,8.8,1976,French,Luca Kowalski
Storm of Eldoria,Musical,7.8,2022,Malayalam,Maya Gupta
Return to Kandara,Fantasy,7.8,1956,Cantonese,Maya Romero
Last Song,Horror,4.7,2010,Czech,Isha Papadopoulos
Pulse of Kandara,Documentary,7.1,1951,Norwegian,Arun Chakraborty
Finding the Beacon,Western,5.9,2003,Bengali,Fatima Ivanov
Remembering the Myth,Fantasy,6.9,1953,Cantonese,Jiwoo Horváth
Myth of Valoria,Noir,7.1,1979,Indonesian,Kenji Sheikh
The Golden Riddle,Family,8.1,2006,Dutch,Mikhail Park
Return to Drakenfell,Western,7.8,1960,Malayalam,Li Rossi
33 Days in Lunaris,Adventure,8.1,1971,Japanese,Maya Levy
The Azure Whisper,War,4.7,1980,Hebrew,Nadia Petrescu
Harbor of Solace,Romance,8.9,1962,Vietnamese,Marta Kowalski
Return to Avalon,Musical,8.0,1973,Ukrainian,Vikram Nakamura
Awakening the Horizon,Musical,4.0,1976,Thai,Jamal Johansson
33 Days in Drakenfell,Drama,8.8,2020,Malayalam,Rohan Gupta
The Silent Whisper,Animation,7.5,2005,Swedish,Piotr Fernandes
The Radiant Riddle,Noir,7.3,1967,Greek,Rohan Zhang
Return to Vesper,Mystery,7.2,2005,Vietnamese,Rohan Papadopoulos
13 Days in Aramore,Adventure,4.3,1955,Hungarian,Anika Nguyen
Return to Valoria,Horror,3.1,2017,Persian,Ravi Park
The Secret Orbit,Animation,6.8,1984,Swedish,Maya Hansen
Return to Eldoria,Sport,5.9,1968,Telugu,Jamal Silva
The Frozen Harbor,Fantasy,6.3,1999,Romanian,Zara Kowalski
Defying the Crown,Sport,7.0,1973,Kannada,Sofia Park
4 Days in Valoria,Western,7.7,1999,Turkish,Mikhail Fernandes
Brave Mirror,Biography,5.5,2010,Malayalam,Ravi Johansson
Return to Veridian,Noir,1.3,1976,Bengali,Ananya Romero
Dark Myth,Documentary,6.7,1991,Kannada,Neha Levy
First Orbit,Biography,3.8,1997,Tamil,Ravi Sheikh
Curious Legacy,Western,4.9,1954,Turkish,Ingrid Santos
Ancient Legacy,Western,7.8,1974,Russian,Seojun Kowalski
Feather of Nerida,Historical,4.9,1985,Kannada,Kenji Nowak
The Golden Orbit,Romance,6.9,2019,Filipino,Mina Novak
Radiant Odyssey,War,7.0,1985,Bengali,Nadia Park
The Curious Harbor,Romance,6.8,1981,Bengali,Priya Kapoor
Remembering the Beacon,Animation,5.6,2019,Ukrainian,Kenji Basu
Dark Riddle,Romance,7.0,1961,Bengali,Priya Garcia
Return to Eldoria,War,7.0,2022,Greek,Ali Nguyen
Unlocking the Promise,War,5.3,1995,Thai,Chang Sarkar
The Ancient Mirror,Sport,4.9,1956,Thai,Anika Chakraborty
Return to Avalon,Sport,4.7,1960,Kannada,Ali Singh
Flame of Orion,Action,8.0,1990,Bengali,Jiwoo Haddad
Chasing the Crown,Biography,5.5,1991,Tamil,Lucia Nowak
Whisper of Orion,Comedy,5.1,2005,Hindi,Seojun Nakamura
Surviving the Storm,Drama,7.5,1977,Tamil,Ravi Hansen
Return to Kandara,Sci-Fi,5.3,1974,Serbian,Jamal Zhang
Dream of Solace,Crime,5.3,2005,Arabic,Karan Papadopoulos
The Fierce Legacy,Biography,6.6,2021,Swedish,Ananya Kowalski
The Fierce Dream,Thriller,4.9,1988,Japanese,Chang Rossi
Return to Kandara,Musical,5.5,1998,Filipino,Mina Fernandes
Dream of Kandara,Musical,6.8,1999,Spanish,Maya Chakraborty
Fierce Whisper,Romance,7.9,1969,English,Lucia Kapoor
33 Days in Orion,Animation,1.9,1981,Turkish,Kenji Kuznetsov
Return to Kandara,Animation,7.8,2009,Norwegian,Jiwoo Nguyen
Leaving the Flame,Historical,4.7,1952,Turkish,Karan Sharma
Return to Solace,Mystery,5.2,1991,Kannada,Jiwoo Levy
Return to Ravenna,Sci-Fi,4.0,1998,Telugu,Li Garcia
Return to Kandara,Documentary,5.2,2020,Tamil,Luca Papadopoulos
Finding the Legacy,Fantasy,2.7,2001,Hindi,Ali Kapoor
Lone River,Thriller,6.8,2004,Japanese,Ali Sheikh
Path of Orion,Documentary,2.4,2000,Spanish,Isha Zhang
12 Days in Kandara,Family,3.9,1990,Czech,Li Garcia
The Broken Whisper,Drama,6.6,1959,Dutch,Karan Fernandes
Horizon of Eldoria,Romance,5.2,1969,Tamil,Mina Novak
Curious Legacy,Adventure,6.9,1958,Turkish,Priya Verma
The Burning Whisper,Western,3.4,1983,Czech,Vikram Iyer
Return to Orion,Noir,9.4,2007,Filipino,Kenji Nguyen
9 Days in Aramore,Adventure,8.5,1959,Danish,Fatima Romero
Return to Nerida,Comedy,7.3,1998,Kannada,Maya Iyer
Voyage of Solace,Family,5.3,1979,Thai,Noah Gupta
Fading Path,Comedy,6.9,1956,Hungarian,Elena Costa
33 Days in Ravenna,Adventure,4.9,1964,Danish,Diego Nguyen
The Azure Song,Romance,2.0,2009,Spanish,Anika Tanaka
The Forgotten Dream,Fantasy,6.3,1986,Polish,Karan Costa
Beacon of Eldoria,Noir,5.4,1985,Telugu,Mina Silva
Fading Beacon,Thriller,6.0,2023,Cantonese,Elena Park
Return to Ravenna,Drama,7.1,1950,Marathi,Jamal Tanaka
The Hidden Song,Mystery,4.8,1997,Tamil,Maya Haddad
Crossing the Crown,Horror,7.3,1961,Indonesian,Mina Novak
The Sacred Canvas,Action,5.8,1958,Kannada,Jonas Novak
7 Days in Kandara,Musical,8.5,1991,Filipino,Neha Nguyen
Song of Eldoria,Crime,5.1,1983,Polish,Luca Johansson
Return to Kandara,Family,5.7,2006,Spanish,Aarav Horváth
Beacon of Vesper,Documentary,2.0,2014,Tamil,Karan Basu
Forgiving the Horizon,Action,7.0,2021,Czech,Kenji Novak
Remembering the Path,Noir,5.7,2015,Marathi,Yara Yamamoto
Leaving the Feather,Action,8.5,1999,Hungarian,Jonas Patel
Surviving the Garden,Mystery,4.7,2018,Bengali,Elena Nakamura
5 Days in Arcadia,Comedy,3.9,1975,Telugu,Ali Petrov
Forgiving the Mirror,Biography,4.4,1991,Thai,Maya Patel
Awakening the Mirror,Fantasy,6.0,1971,Tamil,Omar Chakraborty
Return to Valoria,Sport,7.7,1984,German,Anika Iyer
Return to Kandara,Family,4.2,2023,German,Piotr Singh
Return to Lunaris,Western,4.2,1965,Czech,Maya Kowalski
Return to Orion,Adventure,7.2,2006,Filipino,Omar Costa
8 Days in Orion,Sport,4.7,1977,Marathi,Rohan Chakraborty
The Secret Promise,Mystery,4.0,1975,Persian,Aisha Verma
5 Days in Drakenfell,Biography,6.4,2021,Turkish,Marta Garcia
Wild Riddle,Biography,6.2,1958,Turkish,Ingrid Sharma
21 Days in Caldera,Adventure,9.1,1953,Portuguese,Ananya Khan
7 Days in Veridian,Animation,6.9,1960,Russian,Elena Kapoor
The Haunted Labyrinth,Documentary,6.3,1987,Norwegian,Ananya Basu
Path of Arcadia,Noir,4.9,2017,Malayalam,Jamal Hansen
16 Days in Nerida,Fantasy,5.2,1964,Marathi,Ali Petrov
Saving the Chronicle,Mystery,7.4,1968,Turkish,Aisha Santos
Return to Orion,Adventure,5.2,1992,Spanish,Aisha Kuznetsov
Chasing the Flame,Adventure,6.1,1971,Cantonese,Neha Johansson
The Broken Promise,Sport,5.4,1953,Kannada,Sofia Horváth
The Midnight Mask,Mystery,7.9,1965,Czech,Priya Khan
3 Days in Ravenna,War,7.7,2003,Hebrew,Neha Sarkar
The Shattered Canvas,Animation,7.0,2000,Serbian,Lucia Zhang
9 Days in Vesper,Biography,6.7,1953,Japanese,Mina Nowak
Forgiving the Riddle,Mystery,4.0,2000,Malayalam,Luca Chakraborty
33 Days in Kandara,Biography,6.1,1963,Czech,Jonas Park
The Fallen River,Sci-Fi,5.9,2022,English,Li Ivanov
Emerald Dream,Thriller,6.0,1989,Spanish,Seojun Petrov
First Legacy,Family,6.0,1965,Bulgarian,Omar Romero
Awakening the Harbor,Documentary,5.0,1984,Mandarin,Elena Basu
Hidden Feather,Action,5.5,1963,Cantonese,Fatima Patel
Crossing the Myth,Thriller,4.2,2012,Malayalam,Jiwoo Sharma
Pulse of Nerida,Sci-Fi,8.3,1979,Japanese,Arun Nakamura
First Mirror,Action,6.3,1968,Serbian,Vikram Horváth
Harbor of Solace,War,6.1,2015,Cantonese,Li Kuznetsov
The Ancient Flame,Crime,6.0,1967,Mandarin,Ananya Patel
Return to Veridian,War,8.1,1984,Hindi,Vikram Silva
3 Days in Ravenna,Family,5.7,1987,Turkish,Sofia Fernandes
Horizon of Ravenna,Biography,7.0,1976,Turkish,Diego Rossi
Midnight Beacon,Sci-Fi,5.4,1967,Serbian,Ingrid Haddad
Haunted Harbor,Musical,3.4,2023,German,Lucia Kowalski
Beacon of Aramore,Comedy,8.2,2021,Danish,Piotr Verma
The Shattered Echo,Musical,5.2,1961,Cantonese,Maya Petrov
9 Days in Avalon,Sport,4.1,1960,Telugu,Isha Horváth
Return to Avalon,Thriller,5.0,2010,Hindi,Aarav Nowak
Breaking the Voyage,Adventure,3.7,2004,English,Ravi Khan
Leaving the Crown,Western,8.8,1956,Hindi,Kenji Fernandes
Return to Avalon,Animation,9.3,1970,Malayalam,Diego Kapoor
The Fallen Garden,Fantasy,3.6,1989,Bulgarian,Isha Khan
Return to Kandara,Western,5.8,1953,Filipino,Vikram Johansson
First Whisper,Noir,7.6,2002,Marathi,Marta Petrov
Empire of Ravenna,Drama,1.6,1991,German,Aisha Romero
Return to Veridian,Mystery,4.4,1962,Turkish,Mina Petrov
40 Days in Caldera,Noir,6.9,2022,Filipino,Omar Petrescu
Saving the Labyrinth,Noir,4.2,1950,Bengali,Lea Nakamura
Haunted Promise,Adventure,7.4,1958,Ukrainian,Noah Garcia
Silent Chronicle,Musical,4.4,2025,Greek,Zara Singh
Feather of Drakenfell,Romance,8.2,1960,Tamil,Hiro Zhang
Secret Song,War,6.2,1964,Marathi,Elena Novak
Harbor of Lunaris,Action,4.7,2008,Czech,Omar Petrescu
Return to Caldera,Biography,3.1,1966,Turkish,Chang Iyer
Dark Song,Biography,7.4,1979,German,Omar Haddad
13 Days in Ravenna,Romance,3.3,1984,Japanese,Omar Papadopoulos
The Crimson Labyrinth,Historical,7.4,1988,Spanish,Anika Costa
The Forgotten Horizon,Adventure,8.9,1959,Tamil,Li Rossi
Chasing the Song,Documentary,3.9,1981,Romanian,Yara Silva
The Frozen Whisper,Sport,5.5,1983,Thai,Fatima Tanaka
Return to Aramore,Musical,9.5,2018,Dutch,Aisha Garcia
Garden of Solace,Fantasy,5.8,1998,German,Hiro Patel
8 Days in Aramore,Crime,2.9,1983,English,Luca Petrov
16 Days in Lunaris,Mystery,7.9,1954,Malayalam,Isha Park
Finding the Horizon,Fantasy,6.5,2003,Filipino,Fatima Romero
12 Days in Eldoria,Musical,7.6,2007,Spanish,Aisha Park
Forgiving the Riddle,Horror,6.9,1980,Hindi,Jamal Horváth
13 Days in Aramore,Musical,6.3,1986,Portuguese,Vikram Basu
21 Days in Orion,Comedy,8.7,1963,Greek,Yara Singh
Promise of Veridian,Animation,3.3,2016,Filipino,Ravi Sheikh
40 Days in Veridian,Fantasy,4.9,2017,Japanese,Maya Novak
7 Days in Lunaris,Crime,6.5,1968,Bengali,Anika Johansson
Defying the Mirror,Sport,7.9,1958,Japanese,Luca Kapoor
Echo of Avalon,Animation,5.3,1989,Turkish,Jonas Petrov
Return to Valoria,Musical,9.0,1974,Swedish,Sofia Garcia
Canvas of Orion,Noir,7.7,1996,Spanish,Jamal Zhang
13 Days in Aramore,Documentary,5.2,1952,Russian,Luca Novak
4 Days in Kandara,Fantasy,8.3,1955,Finnish,Luca Yamamoto
40 Days in Vesper,Horror,3.1,1993,Japanese,Elena Gupta
The Curious Empire,Fantasy,6.8,1963,German,Ali Hansen
12 Days in Kandara,Drama,7.2,1981,Tamil,Li Khan
Becoming the Dream,Romance,7.6,2016,Korean,Li Singh
10 Days in Ravenna,Action,5.1,2009,English,Carlos Kapoor
The Lone Song,Noir,7.3,1973,Hungarian,Priya Silva
Feather of Eldoria,Romance,4.4,2005,Russian,Jonas Novak
Return to Veridian,Sci-Fi,7.3,1994,Mandarin,Ingrid Verma
Dark Empire,Western,8.5,1983,Hebrew,Isha Santos
Brave Canvas,Sci-Fi,8.1,1962,Bengali,Priya Nowak
The Sacred Legacy,Historical,6.5,1973,Hungarian,Maya Fernandes
Return to Arcadia,Comedy,6.4,2016,Thai,Mikhail Nguyen
Defying the Myth,Sci-Fi,9.0,2018,Mandarin,Zara Petrescu
The Emerald Shadow,Sport,8.4,2017,Arabic,Maya Santos
Return to Nerida,Romance,5.0,2004,Marathi,Marta Iyer
Midnight Fortress,Family,8.8,2008,Telugu,Noah Sheikh
Forgiving the Pulse,Action,6.9,1957,Swedish,Aisha Iyer
Becoming the Whisper,Mystery,5.1,2009,Turkish,Zara Kapoor
Last Horizon,Sci-Fi,8.3,1965,Thai,Yara Papadopoulos
